Service;Project;Namespace;ClassName;ClassId;FilePath;LOC;NOM;NOF;WMC;RFC;CBO;Cyclomatic;LayerViolations;CycleInvolvement;FanIn;FanOut;Instability;R_size;R_complexity;R_coupling;R_architecture;CQS;Decision;PrimaryCause;RecommendedAction
WebApi;WebApi;WebApi.Controllers;BaseApiController;WebApi:WebApi.Controllers.BaseApiController;WebApi/Controllers/BaseApiController.cs;7.00;0.00;2.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.40;0.39;0.50;0.50;54.70;OK;coupling;"Reduce dependencies via DI + interfaces, facades, avoid reaching into many modules; extract smaller components."
WebApi;WebApi;WebApi.Controllers;BasketController;WebApi:WebApi.Controllers.BasketController;WebApi/Controllers/BasketController.cs;25.00;3.00;1.00;3.00;4.00;2.00;3.00;0.00;0.00;0.00;0.00;0.00;0.58;0.86;0.55;0.50;37.42;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
WebApi;WebApi;WebApi.Controllers.v1;CategoryController;WebApi:WebApi.Controllers.v1.CategoryController;WebApi/Controllers/CategoryController.cs;44.00;6.00;0.00;6.00;2.00;2.00;6.00;0.00;0.00;0.00;0.00;0.00;0.66;0.98;0.55;0.50;32.87;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
WebApi;WebApi;WebApi.Controllers.v1;CouponController;WebApi:WebApi.Controllers.v1.CouponController;WebApi/Controllers/CouponController.cs;80.00;8.00;1.00;8.00;2.00;2.00;16.00;0.00;0.00;0.00;0.00;0.00;0.77;1.00;0.55;0.50;30.34;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
WebApi;WebApi;WebApi.Controllers.v1;CustomerController;WebApi:WebApi.Controllers.v1.CustomerController;WebApi/Controllers/CustomerController.cs;79.00;7.00;0.00;7.00;2.00;2.00;7.00;0.00;0.00;0.00;0.00;0.00;0.72;0.99;0.55;0.50;31.50;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
WebApi;WebApi;WebApi.Controllers.v1;OrderController;WebApi:WebApi.Controllers.v1.OrderController;WebApi/Controllers/OrderController.cs;9.00;1.00;0.00;1.00;2.00;2.00;1.00;0.00;0.00;0.00;0.00;0.00;0.37;0.67;0.55;0.50;46.63;OK;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
WebApi;WebApi;WebApi.Controllers.v1;ProductController;WebApi:WebApi.Controllers.v1.ProductController;WebApi/Controllers/ProductController.cs;51.00;7.00;0.00;7.00;2.00;2.00;7.00;0.00;0.00;0.00;0.00;0.00;0.69;0.99;0.55;0.50;32.16;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
WebApi;WebApi;WebApi.Controllers.v1;PublishController;WebApi:WebApi.Controllers.v1.PublishController;WebApi/Controllers/PublishController.cs;40.00;3.00;1.00;3.00;5.00;3.00;4.00;0.00;0.00;0.00;0.00;0.00;0.64;0.89;0.60;0.50;33.99;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
WebApi;WebApi;WebApi.Controllers.v1;SellerController;WebApi:WebApi.Controllers.v1.SellerController;WebApi/Controllers/SellerController.cs;58.00;5.00;0.00;5.00;2.00;2.00;5.00;0.00;0.00;0.00;0.00;0.00;0.68;0.96;0.55;0.50;32.97;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
WebApi;WebApi;WebApi.Controllers.v1;StripeWebhookController;WebApi:WebApi.Controllers.v1.StripeWebhookController;WebApi/Controllers/StripeWebhookController.cs;58.00;1.00;2.00;1.00;9.00;5.00;5.00;0.00;0.00;0.00;0.00;0.00;0.64;0.81;0.65;0.50;34.37;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
WebApi;WebApi;WebApi.Controllers.v1;UploadController;WebApi:WebApi.Controllers.v1.UploadController;WebApi/Controllers/UploadController.cs;16.00;1.00;1.00;1.00;2.00;3.00;1.00;0.00;0.00;0.00;1.00;1.00;0.44;0.67;0.93;0.50;31.91;REFACTOR;coupling;"Reduce dependencies via DI + interfaces, facades, avoid reaching into many modules; extract smaller components."
