sourceClassId,targetClassId
WebApi:WebApi.Controllers.v1.UploadController,WebApi:WebApi.Helpers.UploadImagesHelper
Domain:Domain.Entities.Product,Domain:Domain.Entities.Category
Domain:Domain.Entities.Product,Domain:Domain.Entities.Seller
Domain:Domain.Entities.Seller,Domain:Domain.Entities.Address
Application:Application.Features.Categories.Queries.GetCategoryProductsById.GetCategoryProductsByIdProductViewModel,Application:Application.Features.SharedViewModels.SellerViewModel
Application:Application.Features.Customers.Commands.CreateCustomer.CreateCustomerCommandHandler,Application:Application.Services.AuthService
Application:Application.Features.Customers.Commands.UpdateCustomer.UpdateCustomerCommandHandler,Application:Application.Services.AuthService
Application:Application.Features.Customers.Queries.GetCustomerByIdentityId.GetCustomerByIdentityIdQueryHandler,Application:Application.Services.AuthService
Application:Application.Features.Orders.Commands.CreateOrder.CreateOrderCommandHandler,Application:Application.Features.Orders.Commands.CreateOrder.CreateOrderCommandHandler
Application:Application.Features.Orders.Commands.CreateOrder.CreateOrderCommandHandler,Application:Application.Services.PaymentService
Application:Application.Features.Products.Queries.GetAllProducts.GetAllProductsViewModel,Application:Application.Features.Products.Queries.GetAllProducts.GetAllProductsCategoryViewModel
Application:Application.Features.Products.Queries.GetAllProducts.GetAllProductsViewModel,Application:Application.Features.SharedViewModels.SellerViewModel
Application:Application.Features.Products.Queries.GetProductById.GetProductByIdViewModel,Application:Application.Features.Products.Queries.GetProductById.GetProductByIdCategoryViewModel
Application:Application.Features.Products.Queries.GetProductById.GetProductByIdViewModel,Application:Application.Features.SharedViewModels.SellerViewModel
Application:Application.Features.Sellers.Commands.CreateSeller.CreateSellerCommand,Application:Application.DTOs.AddressDTO
Application:Application.Features.Sellers.Commands.CreateSeller.CreateSellerCommandHandler,Application:Application.Services.AuthService
Application:Application.Features.Sellers.Commands.UpdateSeller.UpdateSellerCommand,Domain:Domain.Entities.Address
Application:Application.Features.Sellers.Commands.UpdateSeller.UpdateSellerCommandHandler,Application:Application.Services.AuthService
Application:Application.Features.Sellers.Queries.GetAllSellers.GetAllSellersViewModel,Application:Application.Features.SharedViewModels.AddressViewModel
Application:Application.Features.Sellers.Queries.GetSellerByIdentityId.GetSellerByIdentityIdQueryHandler,Application:Application.Services.AuthService
Application:Application.Features.Sellers.Queries.GetSellerByIdentityId.GetSellerByIdentityIdViewModel,Application:Application.Features.SharedViewModels.AddressViewModel
Application:Application.Features.Sellers.Queries.GetSellerProductsByIdentityId.GetSellerProductsByIdentityIdViewModel,Application:Application.Features.SharedViewModels.AddressViewModel
Application:Application.Features.SharedViewModels.ProductViewModel,Application:Application.Features.SharedViewModels.CategoryViewModel
Application:Application.Features.SharedViewModels.ProductViewModel,Application:Application.Features.SharedViewModels.SellerViewModel
Application:Application.Features.SharedViewModels.SellerViewModel,Application:Application.Features.SharedViewModels.AddressViewModel
Infrastructure.Persistence:Infrastructure.Persistence.Repositories.BasketRepositoryAsync,Infrastructure.Persistence:Infrastructure.Persistence.Repositories.BasketRepositoryAsync
Infrastructure.Persistence:Infrastructure.Persistence.Repositories.GenericRepositoryAsync,Infrastructure.Persistence:Infrastructure.Persistence.Contexts.ApplicationDbContext
Infrastructure.Persistence:Infrastructure.Persistence.Repositories.ProductRepositoryAsync,Infrastructure.Persistence:Infrastructure.Persistence.Contexts.ApplicationDbContext
Infrastructure.Persistence:Infrastructure.Persistence.Seeds.DefaultSellers,Application:Application.Services.AuthService
AuthServer:AuthServer.Services.AccountService,AuthServer:AuthServer.Services.AccountService
AuthServer:AuthServer.Services.AccountService,AuthServer:AuthServer.Settings.JWTSettings
OrderService.Infrastructure.Persistence:OrderService.Infrastructure.Persistence.Repositories.GenericRepositoryAsync,OrderService.Infrastructure.Persistence:OrderService.Infrastructure.Persistence.Contexts.OrderDbContext
OrderService.Infrastructure.Persistence:OrderService.Infrastructure.Persistence.Repositories.OrderRepositoryAsync,OrderService.Infrastructure.Persistence:OrderService.Infrastructure.Persistence.Contexts.OrderDbContext
Common:Common.EventBus.RabbitMQEventBus,Common:Common.EventBus.RabbitMQEventBus
ReviewService:ReviewService.Controllers.ReviewController,ReviewService.Infrastructure.Persistence:ReviewService.Infrastructure.Persistence.ReviewServices
DiscountService.Domain:DiscountService.Domain.Entities.UsedCoupon,DiscountService.Domain:DiscountService.Domain.Entities.Coupon
DiscountService.Infrastructure.Persistence:DiscountService.Infrastructure.Persistence.Repositories.GenericRepositoryAsync,DiscountService.Infrastructure.Persistence:DiscountService.Infrastructure.Persistence.Contexts.DiscountDbContext
NotificationService.Infrastructure.Persistence:NotificationService.Infrastructure.Persistence.Repositories.GenericRepositoryAsync,NotificationService.Infrastructure.Persistence:NotificationService.Infrastructure.Persistence.Contexts.NotificationDbContext
