Service;Project;Namespace;ClassName;ClassId;FilePath;LOC;NOM;NOF;WMC;RFC;CBO;Cyclomatic;LayerViolations;CycleInvolvement;FanIn;FanOut;Instability;R_size;R_complexity;R_coupling;R_architecture;CQS;Decision;PrimaryCause;RecommendedAction
Shared;Common;Common.EventBus;RabbitMQEventBus;Common:Common.EventBus.RabbitMQEventBus;Common/EventBus/RabbitMQEventBus.cs;282.00;8.00;8.00;8.00;39.00;9.00;24.00;0.00;0.00;1.00;1.00;0.50;0.99;1.00;1.00;0.50;10.30;REFACTOR;coupling;"Reduce dependencies via DI + interfaces, facades, avoid reaching into many modules; extract smaller components."
Shared;Infrastructure.Persistence;Infrastructure.Persistence.Repositories;ProductRepositoryAsync;Infrastructure.Persistence:Infrastructure.Persistence.Repositories.ProductRepositoryAsync;Infrastructure.Persistence/Repositories/ProductRepositoryAsync.cs;133.00;13.00;2.00;13.00;16.00;5.00;15.00;0.00;0.00;0.00;1.00;1.00;0.83;1.00;0.98;0.50;14.08;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
OrderService;OrderService.Infrastructure.Persistence;OrderService.Infrastructure.Persistence.Repositories;OrderRepositoryAsync;OrderService.Infrastructure.Persistence:OrderService.Infrastructure.Persistence.Repositories.OrderRepositoryAsync;OrderService/Infrastructure.Persistence/Repositories/OrderRepositoryAsync.cs;114.00;11.00;2.00;11.00;14.00;5.00;11.00;0.00;0.00;0.00;1.00;1.00;0.83;1.00;0.98;0.50;14.13;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
AuthServer;AuthServer;AuthServer.Services;AccountService;AuthServer:AuthServer.Services.AccountService;AuthServer/Services/AccountService.cs;155.00;5.00;3.00;5.00;21.00;4.00;16.00;0.00;0.00;1.00;2.00;0.67;0.87;0.98;0.96;0.50;14.56;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
Shared;Application;Application.Features.Orders.Commands.CreateOrder;CreateOrderCommandHandler;Application:Application.Features.Orders.Commands.CreateOrder.CreateOrderCommandHandler;Application/Features/Orders/Commands/CreateOrder/CreateOrderCommand.cs;165.00;2.00;7.00;2.00;15.00;9.00;23.00;0.00;0.00;1.00;2.00;0.67;0.88;0.89;1.00;0.50;15.34;REFACTOR;coupling;"Reduce dependencies via DI + interfaces, facades, avoid reaching into many modules; extract smaller components."
Shared;Infrastructure.Persistence;Infrastructure.Persistence.Repositories;GenericRepositoryAsync;Infrastructure.Persistence:Infrastructure.Persistence.Repositories.GenericRepositoryAsync;Infrastructure.Persistence/Repositories/GenericRepositoryAsync.cs;78.00;11.00;1.00;11.00;12.00;5.00;11.00;0.00;0.00;0.00;1.00;1.00;0.77;1.00;0.98;0.50;15.39;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
OrderService;OrderService.Infrastructure.Persistence;OrderService.Infrastructure.Persistence.Repositories;GenericRepositoryAsync;OrderService.Infrastructure.Persistence:OrderService.Infrastructure.Persistence.Repositories.GenericRepositoryAsync;OrderService/Infrastructure.Persistence/Repositories/GenericRepositoryAsync.cs;78.00;11.00;1.00;11.00;12.00;5.00;11.00;0.00;0.00;0.00;1.00;1.00;0.77;1.00;0.98;0.50;15.39;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
DiscountService;DiscountService.Infrastructure.Persistence;DiscountService.Infrastructure.Persistence.Repositories;GenericRepositoryAsync;DiscountService.Infrastructure.Persistence:DiscountService.Infrastructure.Persistence.Repositories.GenericRepositoryAsync;DiscountService/DiscountService.Infrastructure.Persistence/Repositories/GenericRepositoryAsync.cs;78.00;11.00;1.00;11.00;12.00;5.00;11.00;0.00;0.00;0.00;1.00;1.00;0.77;1.00;0.98;0.50;15.39;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
NotificationService;NotificationService.Infrastructure.Persistence;NotificationService.Infrastructure.Persistence.Repositories;GenericRepositoryAsync;NotificationService.Infrastructure.Persistence:NotificationService.Infrastructure.Persistence.Repositories.GenericRepositoryAsync;NotificationService/NotificationService.Infrastructure.Persistence/Repositories/GenericRepositoryAsync.cs;78.00;11.00;1.00;11.00;12.00;5.00;11.00;0.00;0.00;0.00;1.00;1.00;0.77;1.00;0.98;0.50;15.39;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
ReviewService;ReviewService;ReviewService.Controllers;ReviewController;ReviewService:ReviewService.Controllers.ReviewController;ReviewService/ReviewService/Controllers/ReviewController.cs;82.00;6.00;1.00;6.00;8.00;2.00;9.00;0.00;0.00;0.00;1.00;1.00;0.76;0.99;0.89;0.50;19.06;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
